Date,Rot,VH,Team,1st,2nd,3rd,4th,Final,Open,Close,ML,2H
1218,519,V,Miami,19,37,26,26,108,213,208.5,290,102.5
1218,520,H,Philadelphia,29,19,26,30,104,6.5,8,-380,7
1218,521,V,NewOrleans,32,31,24,20,107,231.5,229.5,145,113.5
1218,522,H,Minnesota,25,25,22,27,99,7,3.5,-170,5.5
1218,523,V,Memphis,32,36,32,22,122,217.5,219.5,230,113.5
1218,524,H,OklahomaCity,27,32,34,33,126,6,6.5,-280,5.5
1218,525,V,Boston,29,21,26,33,109,1,2,-130,2
1218,526,H,Dallas,29,26,18,30,103,218.5,215.5,110,111.5
1218,527,V,Orlando,32,28,16,28,104,203,205,375,100.5
1218,528,H,Denver,27,18,39,29,113,9,9,-500,9.5
1218,529,V,GoldenState,29,37,26,20,112,219,221.5,375,110
1218,530,H,Portland,40,27,30,25,122,9,9,-500,5.5
1219,531,V,Utah,28,24,31,28,111,6.5,6.5,-280,6.5
1219,532,H,Atlanta,30,26,28,22,106,224,224.5,230,114.5
1219,533,V,LALakers,17,29,35,23,104,225,227,140,4
1219,534,H,Milwaukee,23,42,24,22,111,4.5,3.5,-160,110
1219,535,V,Brooklyn,33,23,25,24,105,219,219.5,160,113.5
1219,536,H,SanAntonio,27,23,33,35,118,3,4,-190,3.5
1219,537,V,Houston,27,27,36,32,122,233,235.5,180,2.5
1219,538,H,LAClippers,28,41,18,30,117,5.5,,-220,115
1220,539,V,Sacramento,32,25,22,26,105,206.5,209.5,180,1
1220,540,H,Indiana,30,38,24,27,119,5,5,-220,102
1220,541,V,Memphis,27,24,36,20,107,2,2.5,-140,2
1220,542,H,Cleveland,25,30,26,33,114,224,222.5,120,114.5
1220,543,V,Washington,23,29,33,33,118,230,229.5,220,1.5
1220,544,H,Toronto,40,28,28,26,122,6,6.5,-270,110.5
1220,545,V,Detroit,26,22,21,24,93,215,211,350,103
1220,546,H,Boston,28,32,31,23,114,7.5,9,-450,1.5
1220,547,V,NewYork,20,27,27,40,114,214,216.5,400,1.5
1220,548,H,Miami,39,31,28,31,129,11,9,-550,104.5
1220,549,V,Phoenix,23,27,41,17,108,218,224.5,130,114.5
1220,550,H,OklahomaCity,26,31,44,25,126,4,3,-150,pk
1220,551,V,Dallas,35,28,25,29,117,213.5,212,325,105
1220,552,H,Philadelphia,28,29,20,21,98,7.5,8.5,-425,9
1220,553,V,Minnesota,20,31,24,25,100,216,215.5,525,104.5
1220,554,H,Denver,33,28,21,27,109,10,11,-750,2.5
1220,555,V,Orlando,13,31,31,28,103,216,218.5,145,2.5
1220,556,H,Portland,31,26,36,25,118,3.5,3.5,-170,107
1220,557,V,NewOrleans,16,28,37,21,102,1,2,-130,5
1220,558,H,GoldenState,31,25,22,28,106,224,221.5,110,108
1221,559,V,Utah,31,25,28,30,114,6,7,-300,6.5
1221,560,H,Charlotte,33,31,22,21,107,210,208,240,108
1221,561,V,Atlanta,34,39,25,14,112,227.5,231.5,270,113.5
1221,562,H,Brooklyn,34,26,25,37,122,6.5,7.5,-340,7.5
1221,563,V,Washington,25,28,27,28,108,230,227,700,110
1221,564,H,Philadelphia,32,33,23,37,125,12,12.5,-1100,4
1221,565,V,Chicago,25,28,40,26,119,213,1.5,-125,2.5
1221,566,H,Detroit,28,31,30,18,107,2.5,209,105,102.5
1221,567,V,Milwaukee,37,31,27,28,123,12.5,13,-1200,3
1221,568,H,NewYork,23,31,16,32,102,227,227,750,116.5
1221,569,V,Sacramento,21,29,28,37,115,1.5,2,-135,4
1221,570,H,Memphis,23,37,31,28,119,217.5,221.5,115,108
1221,571,V,LAClippers,33,39,38,24,134,6,7.5,-310,110
1221,572,H,SanAntonio,31,30,22,26,109,223,225.5,250,pk
1221,573,V,Houston,36,34,36,33,139,5.5,8.5,-425,4
1221,574,H,Phoenix,35,30,30,30,125,235,234.5,325,114
1221,575,V,Minnesota,23,29,28,26,106,231.5,227.5,230,110.5
1221,576,H,Portland,27,34,22,30,113,6.5,7,-280,1
1222,577,V,Dallas,17,34,35,21,107,217,218,105,107
1222,578,H,Toronto,20,22,21,47,110,2.5,1.5,-125,3.5
1222,579,V,Charlotte,37,19,21,16,93,209.5,210,650,103
1222,580,H,Boston,30,29,25,35,119,13,12,-1000,6.5
1222,581,V,Indiana,22,33,18,16,89,219.5,220.5,310,109
1222,582,H,Milwaukee,21,38,24,34,117,7,8.5,-410,4.5
1222,583,V,LAClippers,33,30,26,23,112,1,223.5,100,109.5
1222,584,H,OklahomaCity,27,30,29,32,118,222,1,-120,2
1222,585,V,Denver,23,32,36,37,128,209,208,120,pk
1222,586,H,LALakers,28,25,25,26,104,7.5,2.5,-140,101
1223,501,V,Philadelphia,30,30,34,31,125,6,6.5,-275,1
1223,502,H,Detroit,23,29,34,23,109,214,215,225,109.5
1223,503,V,Toronto,19,25,35,28,115,209.5,210.5,195,0.5
1223,504,H,Indiana,30,24,24,29,120,6,5,-245,101.5
1223,505,V,Chicago,28,26,27,14,95,209,205.5,170,101
1223,506,H,Orlando,28,23,32,20,103,3,5,-200,4.5
1223,507,V,Washington,32,31,31,27,121,234.5,227.5,145,110.5
1223,508,H,NewYork,37,27,27,24,115,pk,3.5,-170,2.5
1223,509,V,Atlanta,32,32,30,24,118,228.5,2,-130,3
1223,510,H,Cleveland,42,29,23,27,121,2,229.5,110,112
1223,511,V,Utah,28,24,29,23,104,212,213.5,160,111
1223,512,H,Miami,32,21,23,31,107,4.5,4.5,-190,2.5
1223,513,V,SanAntonio,46,26,36,37,145,1,1,-115,117
1223,514,H,Memphis,31,30,28,26,115,226.5,228.5,-105,2.5
1223,515,V,Denver,34,22,26,31,113,3.5,2.5,-140,107
1223,516,H,Phoenix,22,27,32,30,111,216,218.5,120,pk
1223,517,V,Houston,37,28,32,16,113,5,6,-270,1
1223,518,H,Sacramento,21,36,22,25,104,228,230,220,111
1223,519,V,NewOrleans,31,23,28,20,102,228.5,229.5,200,112
1223,520,H,Portland,31,25,21,17,94,6.5,6,-250,3
1223,521,V,Minnesota,22,21,24,37,104,2,222,-105,3.5
1223,522,H,GoldenState,22,35,27,29,113,221,1,-115,107
